,SUBST,PRON,VERB,ADJ,ART,PREP,UNC,ADV,CONJ,INTERJ
the,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
of,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
and,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
to,4.226721332262564e-05,0.0,0.0,0.0,0.0,0.9999577327866773,0.0,0.0,0.0,0.0
a,0.0071040947212629504,0.0,0.0,0.0,0.9927479033053774,0.0,0.0001480019733596448,0.0,0.0,0.0
in,0.0,0.0,0.0,0.0,0.0,0.9680629921259842,0.0003779527559055118,0.03155905511811024,0.0,0.0
is,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
it,0.0015153155103366164,0.9983764476674964,0.00010823682216690118,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i,0.002961734391659756,0.9933657149626821,0.0,0.0036725506456580974,0.0,0.0,0.0,0.0,0.0,0.0
that,0.0,0.0,0.0,0.3003081298885992,0.0,0.00011851149561507466,0.0,0.003199810381607016,0.6963735482341787,0.0
for,0.0,0.0,0.0,0.0,0.0,0.9660362280234417,0.0,0.00013319126265316994,0.03383058071390517,0.0
you,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
was,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
be,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.0,0.0,0.0,0.0,0.0,0.8659117019530609,0.0,0.13408829804693911,0.0,0.0
with,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
as,0.0,0.0,0.0,0.0,0.0,0.30584135413209423,0.0,0.08197809492200464,0.6121805509459011,0.0
he,0.00017937219730941703,0.9996412556053812,0.0,0.0,0.0,0.0,0.00017937219730941703,0.0,0.0,0.0
's,0.0,0.0,0.31636633847297047,0.0,0.0,0.0,0.6836336615270295,0.0,0.0,0.0
are,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
at,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
not,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
this,0.0,0.0,0.0,0.9981871742578745,0.0,0.0,0.0,0.0018128257421255382,0.0,0.0
have,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
or,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
by,0.0,0.0,0.0,0.0,0.0,0.9920831271647699,0.0,0.007916872835230085,0.0,0.0
his,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
but,0.0,0.0,0.0,0.0,0.0,0.00983691431529899,0.0,0.0002588661661920787,0.9899042195185089,0.0
from,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
she,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
which,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
they,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
an,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
had,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
can,0.004290311047550947,0.0,0.995709688952449,0.0,0.0,0.0,0.0,0.0,0.0,0.0
there,0.0,0.8107814761215629,0.0,0.0,0.0,0.0,0.0,0.18921852387843704,0.0,0.0
if,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
her,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
one,0.0,0.3446327683615819,0.0,0.655367231638418,0.0,0.0,0.0,0.0,0.0,0.0
will,0.026758409785932722,0.0,0.9732415902140673,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.0,0.0,0.0,0.9027297193387159,0.0,0.0,0.0,0.09727028066128413,0.0,0.0
your,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
do,0.001271186440677966,0.0,0.9987288135593221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
what,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
we,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
their,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
so,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8784658040665434,0.12153419593345656,0.0
n't,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
my,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
more,0.0,0.0,0.0,0.3482862903225806,0.0,0.0,0.0,0.6517137096774194,0.0,0.0
said,0.0,0.0,0.9994954591321897,0.0005045408678102926,0.0,0.0,0.0,0.0,0.0,0.0
when,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17631983598154793,0.8236801640184521,0.0
about,0.0,0.0,0.0,0.0,0.0,0.843268242548818,0.0,0.15673175745118192,0.0,0.0
